"customer_id","last_purchase_date","days_since_last_purchase","r_score","total_purchases","f_score","total_spent","m_score","rfm_score","avg_completion_rate","avg_rating","total_sessions","engagement_ratio","early_avg_duration","late_avg_duration","early_avg_rating","late_avg_rating","segment"
"U0402","2024-12-05",26,5,"12",5,"798.00",5,15,"0.74","4.20","200","1.27","88.3900000000000000","91.0400000000000000","4.1666666666666667","4.2500000000000000","Loyal"
"U0081","2024-12-28",3,5,"12",5,"788.00",5,15,"0.93","4.50","175","1.24","84.6206896551724138","92.0795454545454545","4.5000000000000000","4.5000000000000000","Champion"
"U0701","2024-12-07",24,5,"8",5,"582.00",5,15,"0.79","4.60","116","1.27","90.4827586206896552","90.9655172413793103","4.2500000000000000","4.8333333333333333","Champion"
"U0952","2024-12-07",24,5,"12",5,"768.00",5,15,"0.84","4.50","178","1.24","91.4382022471910112","85.7191011235955056","4.7500000000000000","4.2500000000000000","Champion"
"U0196","2024-12-03",28,5,"11",5,"599.00",5,15,"0.77","4.33","156","1.23","86.4487179487179487","87.7051282051282051","4.5000000000000000","4.1666666666666667","Champion"
"U0932","2024-12-29",2,5,"8",5,"532.00",5,15,"0.90","4.58","122","1.21","86.9344262295081967","86.7540983606557377","4.5000000000000000","4.6666666666666667","Champion"
"U0556","2024-12-22",9,5,"9",5,"551.00",5,15,"0.83","4.64","130","1.28","89.3230769230769231","90.9076923076923077","4.5000000000000000","4.7500000000000000","Champion"
"U0391","2024-12-17",14,5,"12",5,"708.00",5,15,"0.88","4.40","181","1.24","93.3333333333333333","83.3186813186813187","4.7500000000000000","4.1666666666666667","Champion"
"U0038","2024-12-01",30,5,"8",5,"552.00",5,15,"0.92","4.30","116","1.21","84.2586206896551724","88.2586206896551724","4.3333333333333333","4.2500000000000000","Champion"
"U0652","2024-12-27",4,5,"10",5,"640.00",5,15,"0.67","4.42","144","1.27","87.5972222222222222","93.7361111111111111","4.3333333333333333","4.5000000000000000","Loyal"
"U0675","2024-12-11",20,5,"10",5,"680.00",5,15,"0.85","4.50","140","1.23","84.4714285714285714","90.1142857142857143","4.5000000000000000","4.5000000000000000","Champion"
"U0047","2024-12-22",9,5,"9",5,"651.00",5,15,"0.79","4.42","145","1.26","91.2083333333333333","88.7260273972602740","4.3750000000000000","4.5000000000000000","Champion"
"U0116","2024-12-06",25,5,"11",5,"719.00",5,15,"0.79","4.44","155","1.23","82.4545454545454545","92.6538461538461538","4.5000000000000000","4.3750000000000000","Champion"
"U0478","2024-12-26",5,5,"12",5,"718.00",5,15,"0.76","4.60","176","1.25","84.3750000000000000","92.4659090909090909","4.5000000000000000","4.7000000000000000","Champion"
"U0236","2024-12-05",26,5,"8",5,"512.00",5,15,"0.85","4.75","120","1.24","86.2000000000000000","92.1166666666666667","4.6666666666666667","5.0000000000000000","Champion"
"U0869","2024-12-09",22,5,"8",5,"532.00",5,15,"0.92","4.58","131","1.26","87.5076923076923077","91.9242424242424242","4.6250000000000000","4.5000000000000000","Champion"
"U0120","2024-12-24",7,5,"8",5,"532.00",5,15,"0.87","4.63","128","1.24","86.0000000000000000","88.8437500000000000","4.6666666666666667","4.5000000000000000","Champion"
"U0214","2024-12-26",5,5,"12",5,"748.00",5,15,"0.86","4.50","189","1.25","88.7765957446808511","88.8105263157894737","4.5000000000000000","4.5000000000000000","Champion"
"U0122","2024-12-24",7,5,"9",5,"611.00",5,15,"0.88","4.63","130","1.22","92.4153846153846154","80.7384615384615385","4.5000000000000000","4.7500000000000000","Champion"
"U0781","2024-12-26",5,5,"12",5,"758.00",5,15,"0.87","4.67","177","1.31","95.5454545454545455","90.5617977528089888","4.8000000000000000","4.5000000000000000","Champion"
"U0626","2024-12-09",22,5,"9",5,"611.00",5,15,"0.81","4.58","143","1.36","99.5774647887323944","93.4305555555555556","4.6666666666666667","4.5000000000000000","Champion"
"U0042","2024-12-15",16,5,"10",5,"630.00",5,15,"0.81","4.50","137","1.19","90.8529411764705882","78.5797101449275362","4.5000000000000000","4.5000000000000000","Champion"
"U0246","2024-12-12",19,5,"8",5,"572.00",5,15,"0.80","4.71","131","1.28","90.4769230769230769","91.9848484848484848","4.7500000000000000","4.6666666666666667","Champion"
"U0784","2024-12-08",23,5,"10",5,"660.00",5,15,"0.91","4.81","155","1.26","87.0389610389610390","91.4102564102564103","4.7500000000000000","4.8750000000000000","Champion"
"U0823","2024-12-17",14,5,"9",5,"581.00",5,15,"0.82","4.38","133","1.26","83.7272727272727273","96.7910447761194030","4.6250000000000000","4.1250000000000000","Champion"
"U0769","2024-12-21",10,5,"12",5,"728.00",5,15,"0.79","4.43","158","1.27","88.5189873417721519","91.3164556962025316","4.1666666666666667","4.6250000000000000","Champion"
"U0595","2024-12-21",10,5,"12",5,"798.00",5,15,"0.88","4.35","177","1.30","95.8750000000000000","89.5842696629213483","4.3333333333333333","4.3750000000000000","Champion"
"U0594","2024-12-17",14,5,"9",5,"581.00",5,15,"0.85","4.58","149","1.28","89.8108108108108108","92.9733333333333333","4.6666666666666667","4.5000000000000000","Champion"
"U0290","2024-12-20",11,5,"10",5,"680.00",5,15,"0.83","4.43","168","1.28","91.5238095238095238","90.4523809523809524","4.5000000000000000","4.3750000000000000","Champion"
"U0373","2024-12-20",11,5,"12",5,"748.00",5,15,"0.92","4.40","175","1.19","83.3678160919540230","85.8295454545454545","4.3000000000000000","4.5000000000000000","Champion"
"U0943","2024-12-10",21,5,"9",5,"591.00",5,15,"0.95","4.70","140","1.35","100.8428571428571429","91.0571428571428571","4.6666666666666667","4.7500000000000000","Champion"
"U0525","2024-12-15",16,5,"11",5,"769.00",5,15,"0.89","4.50","154","1.23","87.9350649350649351","86.3636363636363636","4.7500000000000000","4.3333333333333333","Champion"
"U0994","2024-12-01",30,5,"11",5,"639.00",5,15,"0.87","4.33","143","1.33","90.0140845070422535","97.8750000000000000","4.3333333333333333","4.3333333333333333","Champion"
"U0283","2024-12-03",28,5,"12",5,"788.00",5,15,"0.92","4.63","183","1.32","95.9450549450549451","92.2173913043478261","4.6000000000000000","4.6666666666666667","Champion"
"U0640","2024-12-09",22,5,"9",5,"681.00",5,15,"0.83","4.60","142","1.28","93.3380281690140845","89.1267605633802817","","4.6000000000000000","Champion"
"U0772","2024-12-16",15,5,"12",5,"698.00",5,15,"0.87","4.56","170","1.33","98.4470588235294118","90.2000000000000000","4.7000000000000000","4.3333333333333333","Champion"
"U0043","2024-12-17",14,5,"12",5,"788.00",5,15,"0.82","4.63","185","1.32","97.4130434782608696","90.0430107526881720","4.6250000000000000","4.6250000000000000","Champion"
"U0995","2024-12-02",29,5,"9",5,"661.00",5,15,"0.85","4.50","143","1.25","91.9859154929577465","85.8888888888888889","4.5000000000000000","4.5000000000000000","Champion"
"U0322","2024-12-08",23,5,"9",5,"611.00",5,15,"0.79","4.61","141","1.25","95.4285714285714286","83.0985915492957746","4.6250000000000000","4.6000000000000000","Champion"
"U0097","2024-12-03",28,5,"11",5,"739.00",5,15,"0.88","4.58","176","1.23","85.2272727272727273","90.5113636363636364","4.5000000000000000","4.6666666666666667","Champion"
"U0888","2024-12-20",11,5,"10",5,"640.00",5,15,"0.62","4.69","145","1.34","90.3333333333333333","99.9041095890410959","4.8333333333333333","4.6000000000000000","Loyal"
"U0085","2024-12-23",8,5,"8",5,"512.00",5,15,"0.82","4.50","107","1.23","89.1886792452830189","85.2037037037037037","4.3333333333333333","4.6666666666666667","Champion"
"U0617","2024-12-14",17,5,"9",5,"521.00",5,15,"0.94","4.42","135","1.30","88.6268656716417910","97.3529411764705882","4.5000000000000000","4.3750000000000000","Champion"
"U0147","2024-12-20",11,5,"12",5,"808.00",5,15,"0.85","4.33","194","1.28","94.1030927835051546","88.5463917525773196","4.4166666666666667","4.2500000000000000","Champion"
"U0414","2024-12-29",2,5,"11",5,"669.00",5,15,"0.83","4.00","179","1.29","93.0337078651685393","90.2666666666666667","4.0000000000000000","4.0000000000000000","Champion"
"U0506","2024-12-21",10,5,"10",5,"690.00",5,15,"0.82","4.57","166","1.31","89.8072289156626506","97.5301204819277108","4.6666666666666667","4.5000000000000000","Champion"
"U0242","2024-12-16",15,5,"9",5,"611.00",5,15,"0.91","4.63","127","1.31","91.6190476190476190","95.4531250000000000","4.0000000000000000","4.8333333333333333","Champion"
"U0024","2024-12-20",11,5,"9",5,"661.00",5,15,"0.86","4.40","132","1.16","78.6060606060606061","87.6363636363636364","4.7500000000000000","4.1666666666666667","Champion"
"U0973","2024-12-27",4,5,"12",5,"828.00",5,15,"0.81","4.61","180","1.27","92.6222222222222222","87.2000000000000000","4.7500000000000000","4.5000000000000000","Champion"
